web-scraper-order,web-scraper-start-url,title,tag
"1656774138-50","https://demo.betterstudio.com/publisher/newspaper-daily/","U.S. court revives Dr Pepper challenge to Coca-Cola ‘zero’…","Business"
"1656774138-47","https://demo.betterstudio.com/publisher/newspaper-daily/","U.S. House Republicans delay immigration vote until next week","Politics"
"1656774138-45","https://demo.betterstudio.com/publisher/newspaper-daily/","House conservatives: unlikely any immigration bill will pass","Politics"
"1656774138-41","https://demo.betterstudio.com/publisher/newspaper-daily/","British milestones in Holy Land set traditional foundation for royal…","World"
"1656774138-46","https://demo.betterstudio.com/publisher/newspaper-daily/","SEC judge appointments unconstitutional, U.S. high court says","Politics"
"1656774138-44","https://demo.betterstudio.com/publisher/newspaper-daily/","Trump to meet Jordan’s King Abdullah at White House June 25","Politics"
"1656774138-40","https://demo.betterstudio.com/publisher/newspaper-daily/","We want to say yes – UK unveils Brexit residency rules for EU…","World"
"1656774138-42","https://demo.betterstudio.com/publisher/newspaper-daily/","Turkey’s Erdogan says to slash number of ministries, speed up…","World"
"1656774138-54","https://demo.betterstudio.com/publisher/newspaper-daily/","Do you speak Belgium? English bonds Martinez’s…","Sports"
"1656774138-55","https://demo.betterstudio.com/publisher/newspaper-daily/","Argentina asks Russia to deport fans filmed fighting at World Cup","Sports"
"1656774138-53","https://demo.betterstudio.com/publisher/newspaper-daily/","Mexico keeping a level head for match against ‘robust’…","Sports"
"1656774138-51","https://demo.betterstudio.com/publisher/newspaper-daily/","Tesla accuses former employee of hacking and transferring data","Business"
"1656774138-49","https://demo.betterstudio.com/publisher/newspaper-daily/","Chinese media denounces Trump trade moves as Beijing touts sincerity","Business"
"1656774138-43","https://demo.betterstudio.com/publisher/newspaper-daily/","Hundreds block Pittsburgh interstate in police shooting protest","World"
"1656774138-48","https://demo.betterstudio.com/publisher/newspaper-daily/","Hyundai teams up with Volkswagen’s Audi to boost hydrogen cars","Business"
"1656774138-52","https://demo.betterstudio.com/publisher/newspaper-daily/","Technology, homework narrow talent gap, says Belgium’s Martinez","Sports"
